Pipeline,Table,1 CPU core throughput,2 CPU core % increase,4 CPU core % increase,8 CPU core % increase
HDFS,results_supplier_tpch_sf1,7994.362640538095,-0.91,2.83,-8.53
HDFS,results_supplier_tpch_sf10,73084.38828236648,4.60,2.40,5.87
HDFS,results_supplier_tpch_sf100,106592.42248341272,10.17,11.51,13.01
HDFS,results_lineitem_tpch_sf1,303725.33887181146,21.27,21.76,25.52
HDFS,results_lineitem_tpch_sf10,338395.98157416773,32.26,42.87,45.39
LocalFS,results_supplier_tpch_sf1,252682.38171588365,-17.95,-13.44,-10.12
LocalFS,results_supplier_tpch_sf10,656157.3952099709,11.13,15.66,11.67
LocalFS,results_supplier_tpch_sf100,118729.19450823544,17.22,17.21,16.51
LocalFS,results_lineitem_tpch_sf1,335076.7546463322,17.29,23.02,25.38
LocalFS,results_lineitem_tpch_sf10,348137.8410449656,32.76,41.99,43.65
HUDI,results_supplier_tpch_sf1,199.09343441560185,-0.98,-2.06,-1.95
HUDI,results_supplier_tpch_sf10,1678.926430325355,-0.38,0.06,-1.19
HUDI,results_supplier_tpch_sf100,8913.411682753218,3.34,3.10,2.57
HUDI,results_lineitem_tpch_sf1,11722.94156790002,8.12,6.19,7.54
HUDI,results_lineitem_tpch_sf10,22093.15843262047,16.02,15.76,16.81
