CPU_Cores,Table_name,Mean,Low_CI,High_CI
1_core,results_supplier_tpch_sf1,2.4865358735267447,2.3896916916146873,2.6261760145025326
1_core,results_supplier_tpch_sf10,3.668448467472419,3.63109968872834,3.709800119644031
1_core,results_supplier_tpch_sf100,22.593406384790615,22.449697387931867,22.734935734754426
1_core,results_lineitem_tpch_sf1,244.61231019444952,244.0368139434755,245.19057170856465
1_core,results_lineitem_tpch_sf10,2437.784076311407,2422.870426106264,2453.674689970934
2_core,results_supplier_tpch_sf1,2.387390141173415,2.3276413031015544,2.4466714036716146
2_core,results_supplier_tpch_sf10,3.4348935282165183,3.400802685845643,3.467135324012488
2_core,results_supplier_tpch_sf100,18.634995246771837,18.567347641238012,18.710489690341053
2_core,results_lineitem_tpch_sf1,205.88543885842367,205.21777082475742,206.49846998449507
2_core,results_lineitem_tpch_sf10,2064.135732837875,2057.6396994469633,2070.4450969727513
4_core,results_supplier_tpch_sf1,2.3846977445993196,2.3299228445477786,2.4335776839740575
4_core,results_supplier_tpch_sf10,3.4650206921423594,3.4245181593885645,3.507171069302596
4_core,results_supplier_tpch_sf100,19.22967849830277,19.145554480855356,19.31617400753405
4_core,results_lineitem_tpch_sf1,211.67587563542594,211.0694693562202,212.28392362371272
4_core,results_lineitem_tpch_sf10,2068.526032065491,2060.335863638694,2077.283785288103
8_core,results_supplier_tpch_sf1,2.381544154142737,2.330407464975491,2.4358149950336667
8_core,results_supplier_tpch_sf10,3.4392856610858815,3.408149562096223,3.470030090625398
8_core,results_supplier_tpch_sf100,18.86428914606687,18.78080702580698,18.953243055475877
8_core,results_lineitem_tpch_sf1,207.66469918779302,207.16065593088044,208.20901155837066
8_core,results_lineitem_tpch_sf10,2049.1371098848817,2043.599110713483,2055.478252301977
